RowNumber	Location	BusinessUnitCode	Operating Company	Created	Row ID	Status	Date Identified	Resolved	Type of Near Miss	Other _Explain_	Specific Conditions	Other Specific Condition	Safety Comments	Risk Assessment	Corrective Action and Preventive Action _CAPA_	Issue Resolved?	Safety Concern Resolution	Reported By	Business Area	Job Name / Location	Detailed Location	Description of Safety Concern	Sheet Name
252	22850 NE 8th St Suite 104 Sammamish WA 98074	CNW	Comfort Systems USA (Northwest), Inc.	2025-02-12 20:02:43.000000	25-1161	Open	2025-02-12	NULL	Fall	NULL	NULL	NULL	NULL	NULL	notfied custer to have it fixed	NULL	NULL	NULL	NULL	NULL	Wooden platform/board used to work on air handler in ceiling is broken	NULL	Hazard & Near Miss Intake Sheet
258	Trogan Storage Puyallup	CNW	Comfort Systems USA (Northwest), Inc.	2025-01-29 15:30:35.000000	25-1155	Open	2025-01-24	NULL	Fall	NULL	NULL	NULL	NULL	NULL	Under investagation	NULL	NULL	NULL	NULL	NULL	roof access ladder	NULL	Hazard & Near Miss Intake Sheet
177	Hyatt Bellevue	CNW	Comfort Systems USA (Northwest), Inc.	2025-06-10 18:01:45.000000	25-1237	Open	2025-06-10	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Made engineering aware of issue.	NULL	NULL	NULL	NULL	NULL	2nd floor corridor	NULL	Hazard & Near Miss Intake Sheet
189	Hyatt of Bellevue	CNW	Comfort Systems USA (Northwest), Inc.	2025-05-15 17:08:27.000000	25-1225	Open	2025-05-14	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Removed bad section of wire stripping it back far enough to reattach clean wire. Fixing this small issue can save us from a bigger issue.	NULL	NULL	NULL	NULL	NULL	Regency ballroom second floor	NULL	Hazard & Near Miss Intake Sheet
201	W hotel	CNW	Comfort Systems USA (Northwest), Inc.	2025-05-09 14:44:24.000000	25-1213	Complete	2025-05-08	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Let maintenance know! But from what I can tell they are not to consider with little things like this	NULL	NULL	NULL	NULL	NULL	Mechanical room behind dryers	NULL	Hazard & Near Miss Intake Sheet
212	Sunrise edmonds	CNW	Comfort Systems USA (Northwest), Inc.	2025-04-22 19:14:35.000000	25-1202	Open	2025-04-17	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	worked with onsite Maintenace staff to let them know what they needed to do	NULL	NULL	NULL	NULL	NULL	mech room	NULL	Hazard & Near Miss Intake Sheet
214	Bear creek school	CNW	Comfort Systems USA (Northwest), Inc.	2025-04-08 20:38:54.000000	25-1200	Complete	2025-04-08	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Let GC know to get the sparky out here to remedy the problem.	NULL	NULL	NULL	NULL	NULL	Locker rooms, first floor	NULL	Hazard & Near Miss Intake Sheet
222	1406 130th ave ne bellevue	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-27 20:52:55.000000	25-1192	Complete	2025-03-26	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	put hold on account until this is fixed	NULL	NULL	NULL	NULL	NULL	roof	NULL	Hazard & Near Miss Intake Sheet
226	SK Apartments
11415 Slater Ave NE
Kirkland, WA 98033	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-21 21:48:51.000000	25-1187	Complete	2025-03-20	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Turned off power and tapped off open wires to prevent electrical hazard.	NULL	NULL	NULL	NULL	NULL	P3 parking garage	NULL	Hazard & Near Miss Intake Sheet
228	3209 shorewood dr	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-21 15:38:47.000000	25-1185	Complete	2025-03-21	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Annual check on the electrical connections	NULL	NULL	NULL	NULL	NULL	Basement mechanical room	NULL	Hazard & Near Miss Intake Sheet
233	Bellevue Hyatt	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-13 14:31:04.000000	25-1180	Complete	2025-03-12	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Let Hyatt engineering know	NULL	NULL	NULL	NULL	NULL	Ballroom ceiling	NULL	Hazard & Near Miss Intake Sheet
236	mechanical room	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-10 14:18:44.000000	25-1177	Open	2025-03-06	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	add a box to protech the wire from accedental contact.	NULL	NULL	NULL	NULL	NULL	mech rm	NULL	Hazard & Near Miss Intake Sheet
237	Ida, Culverhouse Broadview	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-06 16:53:22.000000	25-1176	Complete	2025-03-05	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Let maintenance management team know	NULL	NULL	NULL	NULL	NULL	Kitchen area	NULL	Hazard & Near Miss Intake Sheet
241	Holly village	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-04 17:29:51.000000	25-1172	Complete	2025-03-03	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	reported to the manager of the property and they called an electrician	NULL	NULL	NULL	NULL	NULL	outside next to HVAC equipment	NULL	Hazard & Near Miss Intake Sheet
242	Metropole	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-04 15:54:11.000000	25-1171	Complete	2025-03-03	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Electrician repaired.	NULL	NULL	NULL	NULL	NULL	2nd floor	NULL	Hazard & Near Miss Intake Sheet
244	Buck Mason	CNW	Comfort Systems USA (Northwest), Inc.	2025-03-01 01:43:48.000000	25-1169	Complete	2025-02-11	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Powered unit off to make safe and routed wires safely back into the box and put the cover back on.	NULL	NULL	NULL	NULL	NULL	Back of house	NULL	Hazard & Near Miss Intake Sheet
247	W Hotel	CNW	Comfort Systems USA (Northwest), Inc.	2025-02-24 19:17:56.000000	25-1166	Complete	2025-02-24	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	I heard some buzzing noises, so I started checking voltages and visually inspecting the panel. Was able to narrow down where the buzzing was coming from in which with no light on I could see a slight arc. Shut off the breakers and assured no power was being fed to the panel. Separated, wires, and electrical taped, the wire that was chafing on the transformer. Energize power, and check for functionality.	NULL	NULL	NULL	NULL	NULL	parking garage	NULL	Hazard & Near Miss Intake Sheet
251	Metropole	CNW	Comfort Systems USA (Northwest), Inc.	2025-02-13 21:12:09.000000	25-1162	Complete	2025-02-13	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Informed the electrician of the problem	NULL	NULL	NULL	NULL	NULL	First floor	NULL	Hazard & Near Miss Intake Sheet
253	Tri Delta	CNW	Comfort Systems USA (Northwest), Inc.	2025-02-10 17:54:19.000000	25-1160	Complete	2025-02-05	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Sending jorurneyman back to correct this.	NULL	NULL	NULL	NULL	NULL	Mech room	NULL	Hazard & Near Miss Intake Sheet
262	Jefferson square West Seattle	CNW	Comfort Systems USA (Northwest), Inc.	2025-01-17 21:29:20.000000	25-1151	Complete	2025-01-17	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Had a few extra parts on the van and was able to install a cover on live electrical box.	NULL	NULL	NULL	NULL	NULL	2nd floor Vet Clinic	NULL	Hazard & Near Miss Intake Sheet
264	Buck Mason u village	CNW	Comfort Systems USA (Northwest), Inc.	2025-01-14 15:07:29.000000	25-1149	Complete	2025-01-08	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Advised electrician to not leave wires hanging in bathroom everyone is using	NULL	NULL	NULL	NULL	NULL	Bathroom in jobsite	NULL	Hazard & Near Miss Intake Sheet
269	Blue Pearl Seattle.	CNW	Comfort Systems USA (Northwest), Inc.	2025-01-06 16:13:59.000000	25-1144	Complete	2025-01-03	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Traced leads and removed them from system in electrical panel so they're no longer able to be energized. Confirmed no other connections to ground were present and returned unit to service.	NULL	NULL	NULL	NULL	NULL	Equipment area	NULL	Hazard & Near Miss Intake Sheet
275	BCS	CNW	Comfort Systems USA (Northwest), Inc.	2024-12-10 22:14:10.000000	24-1138	Complete	2024-12-10	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	We removed the cord and made other workers aware of its issue.	NULL	NULL	NULL	NULL	NULL	New construction project at BCS in Bellevue	NULL	Hazard & Near Miss Intake Sheet
294	14900 1st ave NE Shoreline wa.	CNW	Comfort Systems USA (Northwest), Inc.	2024-10-03 15:59:04.000000	24-1118	Complete	2024-10-02	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	Notified Landlord and had them contact an an electrical company.	NULL	NULL	NULL	NULL	NULL	Roof, and North and South elevator rooms	NULL	Hazard & Near Miss Intake Sheet
298	Gateway hotel	CNW	Comfort Systems USA (Northwest), Inc.	2024-09-18 16:29:54.000000	24-1115	Complete	2024-09-11	NULL	Electrical	NULL	NULL	NULL	NULL	NULL	unplugged vending machine and found broken ground plug. left it unplugged and notified and report to custemer so they can call the vending compeny.	NULL	NULL	NULL	NULL	NULL	vending machine	NULL	Hazard & Near Miss Intake Sheet
